id;Date;Open;High;Low;Close;Adj_Close;Volume
1;23.05.2002;1.156429;1.242857;1.145714;1.196429;1.196429;104790000
2;24.05.2002;1.214286;1.225000;1.197143;1.210000;1.210000;11104800
3;28.05.2002;1.213571;1.232143;1.157143;1.157143;1.157143;6609400
4;29.05.2002;1.164286;1.164286;1.085714;1.103571;1.103571;6757800
5;30.05.2002;1.107857;1.107857;1.071429;1.071429;1.071429;10154200
6;31.05.2002;1.078571;1.078571;1.071429;1.076429;1.076429;8464400
7;03.06.2002;1.080000;1.149286;1.076429;1.128571;1.128571;3151400
8;04.06.2002;1.135714;1.140000;1.110714;1.117857;1.117857;3105200
9;05.06.2002;1.110714;1.159286;1.107143;1.147143;1.147143;1531600
10;06.06.2002;1.150000;1.232143;1.148571;1.182143;1.182143;2305800
11;07.06.2002;1.177857;1.177857;1.103571;1.118571;1.118571;1369200
12;10.06.2002;1.135000;1.175000;1.134286;1.156429;1.156429;484400
13;11.06.2002;1.156429;1.188571;1.128571;1.153571;1.153571;1003800
14;12.06.2002;1.153571;1.182143;1.089286;1.092857;1.092857;1799000
15;13.06.2002;1.104286;1.122143;1.080000;1.082857;1.082857;2567600
16;14.06.2002;1.082143;1.085714;0.980000;0.986429;0.986429;4783800
17;17.06.2002;1.013571;1.059286;0.917857;0.922143;0.922143;4855200
18;18.06.2002;0.938571;0.939286;0.842143;0.910714;0.910714;10808000
19;19.06.2002;0.911429;0.996429;0.892857;0.951429;0.951429;5482400
20;20.06.2002;0.971429;1.040000;0.950000;0.957143;0.957143;6111000
21;21.06.2002;0.982143;0.989286;0.947857;0.979286;0.979286;2346400
22;24.06.2002;0.979286;1.014286;0.957143;0.978571;0.978571;2567600
23;25.06.2002;0.988571;1.007143;0.947143;0.964286;0.964286;3941000
24;26.06.2002;0.963571;0.996429;0.921429;0.988571;0.988571;2924600
25;27.06.2002;1.009286;1.018571;0.942857;0.943571;0.943571;3817800
26;28.06.2002;0.960714;1.013571;0.960714;0.999286;0.999286;9234400
27;01.07.2002;1.000000;1.046429;0.992857;1.027857;1.027857;4585000
28;02.07.2002;1.053571;1.195000;1.039286;1.172857;1.172857;9020200
29;03.07.2002;1.178571;1.214286;1.117857;1.214286;1.214286;4957400
30;05.07.2002;1.214286;1.299286;1.213571;1.276429;1.276429;2003400
31;08.07.2002;1.252143;1.252143;1.167857;1.175714;1.175714;1953000
32;09.07.2002;1.175000;1.196429;1.114286;1.160714;1.160714;2935800
33;10.07.2002;1.161429;1.178571;1.132143;1.163571;1.163571;1554000
34;11.07.2002;1.154286;1.278571;1.132857;1.269286;1.269286;2529800
35;12.07.2002;1.278571;1.280000;1.207143;1.207857;1.207857;2837800
36;15.07.2002;1.242857;1.248571;1.076429;1.142857;1.142857;4239200
37;16.07.2002;1.152857;1.157143;1.104286;1.126429;1.126429;1941800
38;17.07.2002;1.145000;1.163571;1.075714;1.089286;1.089286;1261400
39;18.07.2002;1.117143;1.166429;1.110714;1.149286;1.149286;2899400
40;19.07.2002;1.152857;1.160714;1.122143;1.160000;1.160000;1792000
41;22.07.2002;1.135714;1.179286;1.115000;1.170714;1.170714;1993600
42;23.07.2002;1.176429;1.213571;1.130714;1.146429;1.146429;1577800
43;24.07.2002;1.146429;1.159286;1.074286;1.114286;1.114286;3355800
44;25.07.2002;1.125000;1.127857;1.035000;1.036429;1.036429;4755800
45;26.07.2002;1.050000;1.058571;0.850000;0.871429;0.871429;7046200
46;29.07.2002;0.896429;0.924286;0.850000;0.876429;0.876429;3260600
47;30.07.2002;0.893571;0.942857;0.893571;0.914286;0.914286;3777200
48;31.07.2002;0.928571;0.960000;0.905714;0.953571;0.953571;3333400
49;01.08.2002;0.950000;0.960000;0.877857;0.891429;0.891429;4529000
50;02.08.2002;0.886429;0.887857;0.706429;0.777857;0.777857;6655600
51;05.08.2002;0.778571;0.812857;0.760714;0.775000;0.775000;3808000
52;06.08.2002;0.795714;0.803571;0.742857;0.760714;0.760714;3217200
53;07.08.2002;0.760714;0.793571;0.742857;0.793571;0.793571;2758000
54;08.08.2002;0.796429;0.803571;0.750714;0.796429;0.796429;2283400
55;09.08.2002;0.798571;0.821429;0.778571;0.787143;0.787143;1500800
56;12.08.2002;0.802857;0.807143;0.753571;0.757143;0.757143;2130800
57;13.08.2002;0.767857;0.805000;0.754286;0.772857;0.772857;1677200
58;14.08.2002;0.775714;0.833571;0.771429;0.833571;0.833571;4047400
59;15.08.2002;0.837143;0.910714;0.832857;0.882857;0.882857;3263400
60;16.08.2002;0.892857;0.924286;0.857143;0.912857;0.912857;1828400
61;19.08.2002;0.925000;0.984286;0.917857;0.982143;0.982143;2074800
62;20.08.2002;0.985000;0.993571;0.921429;0.946429;0.946429;2539600
63;21.08.2002;0.952857;0.971429;0.918571;0.968571;0.968571;2779000
64;22.08.2002;0.973571;0.999286;0.929286;0.983571;0.983571;2963800
65;23.08.2002;0.993571;0.996429;0.967857;0.993571;0.993571;2406600
66;26.08.2002;0.996429;0.996429;0.937857;0.967857;0.967857;2644600
67;27.08.2002;0.967857;0.967857;0.857857;0.873571;0.873571;4984000
68;28.08.2002;0.861429;0.890000;0.825000;0.864286;0.864286;2275000
69;29.08.2002;0.832857;0.922143;0.824286;0.903571;0.903571;2395400
70;30.08.2002;0.914286;0.962857;0.894286;0.936429;0.936429;2121000
71;03.09.2002;0.936429;0.963571;0.913571;0.925000;0.925000;1593200
72;04.09.2002;0.925714;0.945714;0.907857;0.928571;0.928571;373800
73;05.09.2002;0.917857;0.935714;0.910714;0.917857;0.917857;285600
74;06.09.2002;0.927857;0.935714;0.910714;0.914286;0.914286;763000
75;09.09.2002;0.919286;0.925000;0.892857;0.901429;0.901429;1419600
76;10.09.2002;0.900714;0.950000;0.889286;0.945000;0.945000;4746000
77;11.09.2002;0.938571;0.976429;0.938571;0.961429;0.961429;1629600
