id;Title;Genre;Premiere;Runtime;IMDB_Score;Language
1;Enter the Anime;Documentary;05.08.2019;58;2.5;English/Japanese
2;Dark Forces;Thriller;21.08.2020;81;2.6;Spanish
3;The App;Science fiction/Drama;26.12.2019;79;2.6;Italian
4;The Open House;Horror thriller;19.01.2018;94;3.2;English
5;Kaali Khuhi;Mystery;30.10.2020;90;3.4;Hindi
6;Drive;Action;01.11.2019;147;3.5;Hindi
7;Leyla Everlasting;Comedy;04.12.2020;112;3.7;Turkish
8;The Last Days of American Crime;Heist film/Thriller;05.06.2020;149;3.7;English
9;Paradox;Musical/Western/Fantasy;23.03.2018;73;3.9;English
10;Sardar Ka Grandson;Comedy;18.05.2021;139;4.1;Hindi
11;Searching for Sheela;Documentary;22.04.2021;58;4.1;English
12;The Call;Drama;27.11.2020;112;4.1;Korean
13;Whipped;Romantic comedy;18.09.2020;97;4.1;Indonesian
14;All Because of You;Action comedy;01.10.2020;101;4.2;Malay
15;Mercy;Thriller;22.11.2016;90;4.2;English
16;After the Raid;Documentary;19.12.2019;25;4.3;Spanish
17;Ghost Stories;Horror anthology;01.01.2020;144;4.3;Hindi
18;The Last Thing He Wanted;Political thriller;21.02.2020;115;4.3;English
19;What Happened to Mr. Cha?;Comedy;01.01.2021;102;4.3;Korean
20;Death Note;Horror thriller;25.08.2017;100;4.4;English
21;Hello Privilege. It's Me, Chelsea;Documentary;13.09.2019;64;4.4;English
22;Secret Obsession;Thriller;18.07.2019;97;4.4;English
23;Sextuplets;Comedy;16.08.2019;99;4.4;English
24;The Girl on the Train;Thriller;26.02.2021;120;4.4;Hindi
25;Thunder Force;Superhero-Comedy;09.04.2021;105;4.4;English
26;Fatal Affair;Thriller;16.07.2020;89;4.5;English
27;Just Say Yes;Romantic comedy;02.04.2021;97;4.5;Dutch
28;Seriously Single;Comedy;31.07.2020;107;4.5;English
29;The Misadventures of Hedi and Cokeman;Comedy;10.02.2021;99;4.5;French
30;5 Star Christmas;Comedy;07.12.2018;95;4.6;Italian
31;After Maria;Documentary;24.05.2019;37;4.6;English/Spanish
32;I Am the Pretty Thing That Lives in the House;Horror;28.10.2016;89;4.6;English
33;Paris Is Us;Romance drama;22.02.2019;83;4.6;French
34;Porta dos Fundos: The First Temptation of Christ;Comedy;03.12.2019;46;4.6;Portuguese
35;Rattlesnake;Horror;25.10.2019;85;4.6;English
36;The Players;Comedy;15.07.2020;88;4.6;Italian
37;We Are One;Documentary;14.07.2020;86;4.6;French
38;Finding Agnes;Drama;30.11.2020;105;4.7;Filipino
